symbol,split,entry_time,exit_time,net_return,gross_return,net_pnl,entry_notional
ICICIBANK.NS,development,2016-10-14,2016-10-27,0.17468342731918937,0.17692283305788417,4330.4382016164245,24790.206306770328
JSWENERGY.NS,development,2016-10-14,2016-10-27,-0.08084260507977122,-0.0786882721943134,-2018.5976894233384,24969.4785
BANKBARODA.NS,development,2016-10-17,2016-10-28,0.010251703439826737,0.012431771249463907,256.0535479416692,24976.68308926392
IDEA.NS,development,2016-10-17,2016-10-28,0.012296053125873006,0.014476791267155191,307.09882356141816,24975.398236953737
ASIANPAINT.NS,development,2016-10-28,2016-11-11,-0.11329143024103205,-0.11114037079039049,-2818.1732124978216,24875.431500000002
AXISBANK.NS,development,2016-10-28,2016-11-11,0.02061033876662259,0.02280192055504159,512.0497617357254,24844.31563856506
JSWENERGY.NS,development,2016-11-01,2016-11-15,-0.13347970163207148,-0.13134230204781247,-3336.6578404499446,24997.4925
TORNTPHARM.NS,development,2016-11-01,2016-11-15,-0.11720637220944563,-0.11505173460426016,-2907.057322442389,24802.894822540286
ACC.NS,development,2016-11-15,2016-11-28,-0.059814485222198704,-0.05757151204448239,-1420.328832604296,23745.56643475342
AMBUJACEM.NS,development,2016-11-15,2016-11-28,-0.08454371528320823,-0.08238590087031138,-2105.040681470819,24898.842858032225
ASIANPAINT.NS,development,2016-11-16,2016-11-29,0.04097350305196212,0.043174802577104696,1015.5236124069089,24784.88625
COALINDIA.NS,development,2016-12-15,2016-12-28,0.014222178892445005,0.016404943027879974,354.8784921483672,24952.469999999998
CASTROLIND.NS,development,2016-12-16,2016-12-29,0.0024417858839124542,0.004620041077175269,60.97121749985142,24969.92791282654
BHEL.NS,development,2016-12-19,2016-12-30,-0.018285606672747427,-0.016111419306126785,-456.05151493981697,24940.464
SOUTHBANK.NS,development,2016-12-29,2017-01-11,0.12175580889664657,0.12396671436360102,3043.3910911968314,24995.8594893837
LICHSGFIN.NS,development,2017-01-05,2017-01-18,0.016514615297836644,0.018699686370459687,411.65744756073883,24926.85661376953
GRANULES.NS,development,2017-01-10,2017-01-23,0.09408959352304821,0.09629710266610082,2345.1695534299974,24924.855827499392
IDEA.NS,development,2017-01-16,2017-01-30,0.4013560710733477,0.4036478452821296,10029.354384416883,24988.669929908752
RELIANCE.NS,development,2017-01-19,2017-02-02,0.004369077874841719,0.006555147759368476,108.60347606646101,24857.299223670958
DIVISLAB.NS,development,2017-01-24,2017-02-07,0.06716002321629493,0.0693668033757408,1666.670134464908,24816.402000000002
AJANTPHARM.NS,development,2017-01-31,2017-02-13,0.04625376064811162,0.04850566418533277,1112.5658310581252,24053.521604919435
TCS.NS,development,2017-02-01,2017-02-14,0.08003552825412123,0.08227136431784102,1955.4448337656236,24432.210000000003
DABUR.NS,development,2017-02-06,2017-02-17,-0.018662625004385924,-0.016482266079522575,-463.6396024286444,24843.214838195803
CEATLTD.NS,development,2017-02-08,2017-02-21,-0.024665140370634782,-0.022423790408161337,-589.7940583808697,23912.04953704834
APOLLOTYRE.NS,development,2017-02-14,2017-02-28,0.038463513150065576,0.04065970402250033,955.9113834809528,24852.420000000002
AUROPHARMA.NS,development,2017-02-15,2017-03-01,0.02544525887214787,0.027667880778882027,620.7419629531213,24395.1915
NTPC.NS,development,2017-02-23,2017-03-09,-0.057938579285159615,-0.055778525925734124,-1447.4786716870983,24982.98525
