anchor_date,actual_snapshot_date,raw_symbol,canonical_symbol,format
2016-06-15,2016-06-15,JETAIRWAYS.NS,JETAIRWAYS.NS,classic
2016-06-15,2016-06-15,PCJEWELLER.NS,PCJEWELLER.NS,classic
2016-06-15,2016-06-15,HEXAWARE.NS,HEXAWARE.NS,classic
2016-06-15,2016-06-15,DRREDDY.NS,DRREDDY.NS,classic
2016-06-15,2016-06-15,RELIANCE.NS,RELIANCE.NS,classic
2016-06-15,2016-06-15,IOC.NS,IOC.NS,classic
2016-06-15,2016-06-15,CASTROLIND.NS,CASTROLIND.NS,classic
2016-06-15,2016-06-15,JPASSOCIAT.NS,JPASSOCIAT.NS,classic
2016-06-15,2016-06-15,ARVIND.NS,ARVIND.NS,classic
2016-06-15,2016-06-15,INFY.NS,INFY.NS,classic
2016-06-15,2016-06-15,SKSMICRO.NS,SKSMICRO.NS,classic
2016-06-15,2016-06-15,ZEEL.NS,ZEEL.NS,classic
2016-06-15,2016-06-15,RPOWER.NS,RPOWER.NS,classic
2016-06-15,2016-06-15,JUSTDIAL.NS,JUSTDIAL.NS,classic
2016-06-15,2016-06-15,DHFL.NS,DHFL.NS,classic
2016-06-15,2016-06-15,ITC.NS,ITC.NS,classic
2016-06-15,2016-06-15,IBREALEST.NS,IBREALEST.NS,classic
2016-06-15,2016-06-15,JSWSTEEL.NS,JSWSTEEL.NS,classic
2016-06-15,2016-06-15,MRF.NS,MRF.NS,classic
2016-06-15,2016-06-15,PIDILITIND.NS,PIDILITIND.NS,classic
2016-06-15,2016-06-15,PNB.NS,PNB.NS,classic
2016-06-15,2016-06-15,TVSMOTOR.NS,TVSMOTOR.NS,classic
2016-06-15,2016-06-15,M&M.NS,M&M.NS,classic
2016-06-15,2016-06-15,BEML.NS,BEML.NS,classic
2016-06-15,2016-06-15,LUPIN.NS,LUPIN.NS,classic
2016-06-15,2016-06-15,BAJFINANCE.NS,BAJFINANCE.NS,classic
2016-06-15,2016-06-15,CEATLTD.NS,CEATLTD.NS,classic
2016-06-15,2016-06-15,ULTRACEMCO.NS,ULTRACEMCO.NS,classic
2016-06-15,2016-06-15,AJANTPHARM.NS,AJANTPHARM.NS,classic
2016-06-15,2016-06-15,WOCKPHARMA.NS,WOCKPHARMA.NS,classic
2016-06-15,2016-06-15,ACC.NS,ACC.NS,classic
2016-06-15,2016-06-15,AMARAJABAT.NS,ARE&M.NS,classic
2016-06-15,2016-06-15,TV18BRDCST.NS,TV18BRDCST.NS,classic
2016-06-15,2016-06-15,JSWENERGY.NS,JSWENERGY.NS,classic
2016-06-15,2016-06-15,CADILAHC.NS,CADILAHC.NS,classic
2016-06-15,2016-06-15,L&TFH.NS,LTF.NS,classic
2016-06-15,2016-06-15,PFC.NS,PFC.NS,classic
2016-06-15,2016-06-15,AXISBANK.NS,AXISBANK.NS,classic
2016-06-15,2016-06-15,SBIN.NS,SBIN.NS,classic
2016-06-15,2016-06-15,SYNDIBANK.NS,SYNDIBANK.NS,classic
2016-06-15,2016-06-15,YESBANK.NS,YESBANK.NS,classic
2016-06-15,2016-06-15,COALINDIA.NS,COALINDIA.NS,classic
2016-06-15,2016-06-15,IRB.NS,IRB.NS,classic
2016-06-15,2016-06-15,KTKBANK.NS,KTKBANK.NS,classic
